<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.20	15:00:00	1.08182	1.08274	1.08023	1.08065	5050	0	1
2023.01.20	16:00:00	1.08065	1.08259	1.08046	1.08218	6030	0	1
2023.01.20	17:00:00	1.08218	1.08478	1.08182	1.08309	6832	0	1
2023.01.20	18:00:00	1.08309	1.08449	1.08273	1.08305	4591	0	1
2023.01.20	19:00:00	1.08304	1.08473	1.08294	1.08436	3194	0	1
2023.01.20	20:00:00	1.08436	1.08502	1.08337	1.08475	3960	0	1
2023.01.20	21:00:00	1.08475	1.08585	1.08454	1.08540	2600	0	1
2023.01.20	22:00:00	1.08539	1.08583	1.08517	1.08565	2198	0	1
2023.01.20	23:00:00	1.08566	1.08581	1.08545	1.08562	683	0	1
2023.01.23	00:00:00	1.08639	1.08656	1.08540	1.08652	343	0	5
2023.01.23	01:00:00	1.08650	1.08696	1.08619	1.08641	1805	0	1
2023.01.23	02:00:00	1.08641	1.08873	1.08641	1.08851	2261	0	1
2023.01.23	03:00:00	1.08850	1.08997	1.08808	1.08949	2821	0	1
2023.01.23	04:00:00	1.08949	1.08990	1.08897	1.08925	1619	0	1
2023.01.23	05:00:00	1.08925	1.09029	1.08925	1.08985	1673	0	1
2023.01.23	06:00:00	1.08986	1.08988	1.08890	1.08948	1686	0	1
2023.01.23	07:00:00	1.08947	1.08984	1.08902	1.08923	1788	0	1
2023.01.23	08:00:00	1.08923	1.09119	1.08872	1.09006	3141	0	1
2023.01.23	09:00:00	1.09007	1.09264	1.08922	1.09144	4884	0	1
2023.01.23	10:00:00	1.09144	1.09154	1.08932	1.08998	5251	0	1
2023.01.23	11:00:00	1.08998	1.09203	1.08932	1.09116	3461	0	1
2023.01.23	12:00:00	1.09115	1.09152	1.08953	1.08992	3404	0	1
2023.01.23	13:00:00	1.08992	1.09023	1.08789	1.08813	3793	0	1
2023.01.23	14:00:00	1.08813	1.08831	1.08666	1.08709	4453	0	1
2023.01.23	15:00:00	1.08710	1.08777	1.08531	1.08589	5482	0	1
2023.01.23	16:00:00	1.08589	1.08681	1.08462	1.08618	6426	0	1
2023.01.23	17:00:00	1.08619	1.08690	1.08468	1.08646	6835	0	1
2023.01.23	18:00:00	1.08645	1.08758	1.08599	1.08640	5091	0	1
2023.01.23	19:00:00	1.08640	1.08649	1.08570	1.08623	2571	0	1
2023.01.23	20:00:00	1.08623	1.08730	1.08622	1.08663	2557	0	1
2023.01.23	21:00:00	1.08664	1.08673	1.08473	1.08591	3466	0	1
2023.01.23	22:00:00	1.08592	1.08683	1.08571	1.08682	3577	0	1
2023.01.23	23:00:00	1.08678	1.08716	1.08651	1.08711	951	0	1
2023.01.24	00:00:00	1.08709	1.08715	1.08683	1.08700	326	0	2
2023.01.24	01:00:00	1.08700	1.08760	1.08675	1.08714	1282	0	1
2023.01.24	02:00:00	1.08714	1.08748	1.08677	1.08735	1671	0	1
2023.01.24	03:00:00	1.08735	1.08822	1.08714	1.08810	1679	0	1
2023.01.24	04:00:00	1.08809	1.08830	1.08777	1.08790	1382	0	1
2023.01.24	05:00:00	1.08789	1.08803	1.08730	1.08746	1302	0	0
2023.01.24	06:00:00	1.08745	1.08765	1.08694	1.08764	1271	0	1
2023.01.24	07:00:00	1.08765	1.08825	1.08755	1.08784	1243	0	1
2023.01.24	08:00:00	1.08784	1.08917	1.08773	1.08879	2165	0	1
2023.01.24	09:00:00	1.08873	1.08980	1.08833	1.08887	3647	0	1
2023.01.24	10:00:00	1.08887	1.08959	1.08664	1.08752	4700	0	1
2023.01.24	11:00:00	1.08750	1.08827	1.08517	1.08609	5072	0	1
2023.01.24	12:00:00	1.08608	1.08663	1.08521	1.08639	3905	0	1
2023.01.24	13:00:00	1.08635	1.08757	1.08537	1.08666	3128	0	1
2023.01.24	14:00:00	1.08666	1.08763	1.08589	1.08597	3267	0	1
2023.01.24	15:00:00	1.08597	1.08807	1.08540	1.08659	5558	0	0
2023.01.24	16:00:00	1.08659	1.08700	1.08404	1.08422	7492	0	1
2023.01.24	17:00:00	1.08422	1.08802	1.08351	1.08752	9508	0	0
2023.01.24	18:00:00	1.08751	1.08831	1.08670	1.08716	5372	0	1
2023.01.24	19:00:00	1.08714	1.08869	1.08702	1.08832	3639	0	1
2023.01.24	20:00:00	1.08832	1.08888	1.08761	1.08791	2508	0	1
2023.01.24	21:00:00	1.08791	1.08845	1.08740	1.08837	1871	0	1
2023.01.24	22:00:00	1.08838	1.08847	1.08791	1.08814	1747	0	1
2023.01.24	23:00:00	1.08810	1.08883	1.08805	1.08882	1510	0	1
2023.01.25	00:00:00	1.08855	1.08877	1.08804	1.08856	509	0	1
2023.01.25	01:00:00	1.08855	1.08905	1.08830	1.08899	1638	0	1
2023.01.25	02:00:00	1.08899	1.08904	1.08810	1.08872	2612	0	1
2023.01.25	03:00:00	1.08871	1.08943	1.08842	1.08930	2317	0	1
2023.01.25	04:00:00	1.08930	1.09014	1.08930	1.08965	1621	0	1
2023.01.25	05:00:00	1.08962	1.08993	1.08925	1.08971	1867	0	1
2023.01.25	06:00:00	1.08971	1.09027	1.08969	1.08987	1333	0	1
2023.01.25	07:00:00	1.08987	1.08993	1.08920	1.08974	1528	0	0
2023.01.25	08:00:00	1.08976	1.09111	1.08957	1.09061	2540	0	1
2023.01.25	09:00:00	1.09061	1.09110	1.08786	1.08810	4006	0	1
2023.01.25	10:00:00	1.08809	1.08911	1.08676	1.08768	4375	0	1
2023.01.25	11:00:00	1.08770	1.08918	1.08699	1.08812	3775	0	1
2023.01.25	12:00:00	1.08812	1.08812	1.08630	1.08657	4029	0	1
2023.01.25	13:00:00	1.08657	1.08697	1.08571	1.08645	3679	0	1
2023.01.25	14:00:00	1.08645	1.08768	1.08582	1.08747	3715	0	1
2023.01.25	15:00:00	1.08740	1.08845	1.08645	1.08719	4636	0	1
2023.01.25	16:00:00	1.08719	1.09003	1.08687	1.08937	6230	0	1
2023.01.25	17:00:00	1.08936	1.09238	1.08906	1.09023	8646	0	1
2023.01.25	18:00:00	1.09018	1.09033	1.08741	1.09002	5957	0	1
2023.01.25	19:00:00	1.09002	1.09036	1.08941	1.08991	2397	0	1
2023.01.25	20:00:00	1.08993	1.09185	1.08993	1.09092	3297	0	1
2023.01.25	21:00:00	1.09092	1.09150	1.09068	1.09146	2256	0	1
2023.01.25	22:00:00	1.09147	1.09176	1.09065	1.09145	1931	0	1
2023.01.25	23:00:00	1.09141	1.09179	1.09115	1.09156	1222	0	1
2023.01.26	00:00:00	1.09164	1.09178	1.09095	1.09139	440	0	1
2023.01.26	01:00:00	1.09139	1.09228	1.09139	1.09208	1166	0	1
2023.01.26	02:00:00	1.09207	1.09246	1.09151	1.09156	1950	0	1
2023.01.26	03:00:00	1.09157	1.09210	1.09070	1.09191	2204	0	1
2023.01.26	04:00:00	1.09191	1.09216	1.09107	1.09153	1655	0	1
2023.01.26	05:00:00	1.09151	1.09176	1.09111	1.09131	1370	0	1
2023.01.26	06:00:00	1.09129	1.09182	1.09127	1.09145	1289	0	1
2023.01.26	07:00:00	1.09141	1.09187	1.09089	1.09186	1462	0	1
2023.01.26	08:00:00	1.09183	1.09292	1.09171	1.09202	1891	0	1
2023.01.26	09:00:00	1.09199	1.09225	1.09064	1.09195	4342	0	1
2023.01.26	10:00:00	1.09194	1.09279	1.09057	1.09090	4353	0	1
2023.01.26	11:00:00	1.09091	1.09100	1.08923	1.08956	4232	0	1
2023.01.26	12:00:00	1.08955	1.09079	1.08938	1.09067	2724	0	1
2023.01.26	13:00:00	1.09066	1.09077	1.08991	1.09030	2283	0	1
2023.01.26	14:00:00	1.09029	1.09042	1.08868	1.08928	3403	0	1
2023.01.26	15:00:00	1.08926	1.09083	1.08727	1.09026	7856	0	1
2023.01.26	16:00:00	1.09026	1.09176	1.08813	1.08873	8442	0	1
2023.01.26	17:00:00	1.08872	1.08948	1.08508	1.08552	8748	0	1
2023.01.26	18:00:00	1.08552	1.08718	1.08503	1.08647	6018	0	1
2023.01.26	19:00:00	1.08647	1.08699	1.08581	1.08646	3186	0	1
2023.01.26	20:00:00	1.08647	1.08881	1.08634	1.08861	3016	0	1
2023.01.26	21:00:00	1.08860	1.08903	1.08822	1.08892	1996	0	1
2023.01.26	22:00:00	1.08891	1.08925	1.08865	1.08922	2468	0	1
2023.01.26	23:00:00	1.08922	1.08941	1.08902	1.08935	923	0	1
2023.01.27	00:00:00	1.08891	1.08903	1.08869	1.08897	274	0	18
2023.01.27	01:00:00	1.08899	1.08963	1.08827	1.08932	1452	0	1
2023.01.27	02:00:00	1.08933	1.09002	1.08933	1.08965	2052	0	1
2023.01.27	03:00:00	1.08965	1.08992	1.08859	1.08895	2300	0	1
2023.01.27	04:00:00	1.08894	1.08899	1.08784	1.08794	1767	0	1
2023.01.27	05:00:00	1.08794	1.08800	1.08705	1.08736	1811	0	1
2023.01.27	06:00:00	1.08735	1.08735	1.08658	1.08663	1747	0	1
2023.01.27	07:00:00	1.08662	1.08738	1.08656	1.08738	1505	0	1
2023.01.27	08:00:00	1.08737	1.08738	1.08662	1.08698	1981	0	1
2023.01.27	09:00:00	1.08696	1.08795	1.08679	1.08735	2660	0	1
2023.01.27	10:00:00	1.08737	1.08915	1.08656	1.08904	3971	0	1
2023.01.27	11:00:00	1.08904	1.08923	1.08775	1.08837	3480	0	1
2023.01.27	12:00:00	1.08838	1.08953	1.08826	1.08893	2628	0	1
2023.01.27	13:00:00	1.08890	1.08936	1.08755	1.08789	2915	0	1
2023.01.27	14:00:00	1.08791	1.08807	1.08662	1.08667	2697	0	1
2023.01.27	15:00:00	1.08665	1.08779	1.08578	1.08622	5777	0	1
2023.01.27	16:00:00	1.08622	1.08767	1.08451	1.08652	7072	0	1
2023.01.27	17:00:00	1.08652	1.08790	1.08375	1.08386	7968	0	1
2023.01.27	18:00:00	1.08383	1.08672	1.08381	1.08563	5182	0	1
2023.01.27	19:00:00	1.08564	1.08717	1.08525	1.08665	2989	0	1
2023.01.27	20:00:00	1.08664	1.08675	1.08563	1.08659	2438	0	1
2023.01.27	21:00:00	1.08659	1.08721	1.08643	1.08686	1915	0	1
2023.01.27	22:00:00	1.08686	1.08730	1.08640	1.08653	1822	0	1
2023.01.27	23:00:00	1.08651	1.08690	1.08648	1.08677	958	0	1
2023.01.30	00:00:00	1.08610	1.08661	1.08593	1.08650	389	0	1
2023.01.30	01:00:00	1.08653	1.08728	1.08651	1.08719	1462	0	1
2023.01.30	02:00:00	1.08718	1.08754	1.08693	1.08747	2157	0	1
2023.01.30	03:00:00	1.08743	1.08753	1.08612	1.08737	2994	0	1
2023.01.30	04:00:00	1.08735	1.08736	1.08654	1.08690	2426	0	1
2023.01.30	05:00:00	1.08691	1.08694	1.08643	1.08686	1728	0	1
2023.01.30	06:00:00	1.08685	1.08793	1.08679	1.08764	3790	0	1
2023.01.30	07:00:00	1.08759	1.08768	1.08644	1.08691	2659	0	1
2023.01.30	08:00:00	1.08692	1.08695	1.08581	1.08619	2489	0	1
2023.01.30	09:00:00	1.08616	1.08697	1.08529	1.08597	3478	0	1
2023.01.30	10:00:00	1.08598	1.08895	1.08598	1.08814	5490	0	1
2023.01.30	11:00:00	1.08813	1.09040	1.08764	1.09019	3852	0	0
2023.01.30	12:00:00	1.09019	1.09137	1.09017	1.09106	3731	0	1
2023.01.30	13:00:00	1.09107	1.09113	1.08906	1.08963	3119	0	1
2023.01.30	14:00:00	1.08964	1.09094	1.08931	1.09038	3085	0	1
2023.01.30	15:00:00	1.09038	1.09110	1.08860	1.08861	4427	0	1
2023.01.30	16:00:00	1.08862	1.08996	1.08797	1.08913	5615	0	0
2023.01.30	17:00:00	1.08913	1.08992	1.08676	1.08707	6595	0	1
2023.01.30	18:00:00	1.08707	1.08747	1.08605	1.08657	4627	0	1
2023.01.30	19:00:00	1.08657	1.08667	1.08571	1.08577	3238	0	1
2023.01.30	20:00:00	1.08576	1.08606	1.08500	1.08544	2453	0	1
2023.01.30	21:00:00	1.08545	1.08555	1.08391	1.08461	2458	0	1
2023.01.30	22:00:00	1.08460	1.08546	1.08440	1.08458	2173	0	1
2023.01.30	23:00:00	1.08457	1.08523	1.08457	1.08508	772	0	1
2023.01.31	00:00:00	1.08489	1.08522	1.08480	1.08508	817	0	11
2023.01.31	01:00:00	1.08508	1.08511	1.08467	1.08499	834	0	1
2023.01.31	02:00:00	1.08499	1.08572	1.08489	1.08540	1985	0	1
2023.01.31	03:00:00	1.08540	1.08601	1.08510	1.08576	2310	0	1
2023.01.31	04:00:00	1.08576	1.08590	1.08500	1.08519	1939	0	1
2023.01.31	05:00:00	1.08518	1.08526	1.08441	1.08447	1788	0	1
2023.01.31	06:00:00	1.08447	1.08461	1.08393	1.08460	1641	0	1
2023.01.31	07:00:00	1.08460	1.08467	1.08329	1.08346	1646	0	1
2023.01.31	08:00:00	1.08347	1.08421	1.08316	1.08394	2324	0	1
2023.01.31	09:00:00	1.08394	1.08496	1.08342	1.08440	3728	0	1
2023.01.31	10:00:00	1.08441	1.08448	1.08025	1.08033	5537	0	1
2023.01.31	11:00:00	1.08033	1.08339	1.08020	1.08299	4178	0	1
2023.01.31	12:00:00	1.08298	1.08313	1.08202	1.08228	3536	0	1
2023.01.31	13:00:00	1.08228	1.08381	1.08214	1.08358	3039	0	1
2023.01.31	14:00:00	1.08358	1.08387	1.08254	1.08261	3099	0	1
2023.01.31	15:00:00	1.08257	1.08632	1.08257	1.08510	7973	0	1
2023.01.31	16:00:00	1.08510	1.08643	1.08431	1.08478	7215	0	1
2023.01.31	17:00:00	1.08473	1.08624	1.08335	1.08600	8329	0	1
2023.01.31	18:00:00	1.08598	1.08676	1.08533	1.08570	5662	0	1
2023.01.31	19:00:00	1.08570	1.08662	1.08507	1.08651	2825	0	1
2023.01.31	20:00:00	1.08651	1.08749	1.08646	1.08724	1976	0	0
2023.01.31	21:00:00	1.08724	1.08739	1.08629	1.08638	1902	0	1
2023.01.31	22:00:00	1.08638	1.08730	1.08599	1.08720	2496	0	1
2023.01.31	23:00:00	1.08718	1.08724	1.08627	1.08643	1186	0	1
2023.02.01	00:00:00	1.08624	1.08640	1.08602	1.08608	240	0	1
2023.02.01	01:00:00	1.08607	1.08657	1.08604	1.08607	881	0	1
2023.02.01	02:00:00	1.08607	1.08642	1.08585	1.08624	1558	0	0
2023.02.01	03:00:00	1.08624	1.08637	1.08570	1.08573	1809	0	1
2023.02.01	04:00:00	1.08572	1.08573	1.08522	1.08538	1454	0	1
2023.02.01	05:00:00	1.08538	1.08627	1.08521	1.08627	1023	0	1
2023.02.01	06:00:00	1.08626	1.08688	1.08625	1.08656	1113	0	1
2023.02.01	07:00:00	1.08656	1.08748	1.08653	1.08716	1023	0	1
2023.02.01	08:00:00	1.08716	1.08768	1.08656	1.08695	1934	0	1
2023.02.01	09:00:00	1.08695	1.08834	1.08665	1.08800	4076	0	1
2023.02.01	10:00:00	1.08806	1.08884	1.08695	1.08874	4517	0	1
2023.02.01	11:00:00	1.08874	1.08885	1.08784	1.08837	3323	0	1
2023.02.01	12:00:00	1.08831	1.08936	1.08782	1.08921	2897	0	1
2023.02.01	13:00:00	1.08921	1.08969	1.08884	1.08924	2486	0	1
2023.02.01	14:00:00	1.08924	1.08978	1.08879	1.08916	2241	0	1
2023.02.01	15:00:00	1.08915	1.09098	1.08882	1.09040	5322	0	1
2023.02.01	16:00:00	1.09041	1.09107	1.09012	1.09039	4146	0	1
2023.02.01	17:00:00	1.09040	1.09247	1.08878	1.09197	8396	0	1
2023.02.01	18:00:00	1.09196	1.09241	1.09142	1.09165	4338	0	1
2023.02.01	19:00:00	1.09165	1.09190	1.09048	1.09076	2512	0	1
2023.02.01	20:00:00	1.09076	1.09207	1.09060	1.09154	2664	0	1
2023.02.01	21:00:00	1.09144	1.09857	1.08884	1.09778	15831	0	1
2023.02.01	22:00:00	1.09778	1.10011	1.09696	1.09880	9967	0	1
2023.02.01	23:00:00	1.09881	1.09905	1.09831	1.09882	1900	0	1
2023.02.02	00:00:00	1.09885	1.09897	1.09852	1.09868	1107	0	1
2023.02.02	01:00:00	1.09865	1.10330	1.09858	1.10127	2561	0	1
2023.02.02	02:00:00	1.10126	1.10267	1.10104	1.10189	3123	0	1
2023.02.02	03:00:00	1.10189	1.10211	1.10063	1.10132	3608	0	1
2023.02.02	04:00:00	1.10130	1.10212	1.10118	1.10188	2996	0	1
2023.02.02	05:00:00	1.10188	1.10206	1.10146	1.10177	1928	0	1
2023.02.02	06:00:00	1.10176	1.10253	1.10158	1.10197	1399	0	1
2023.02.02	07:00:00	1.10197	1.10249	1.10190	1.10201	1979	0	1
2023.02.02	08:00:00	1.10200	1.10217	1.10045	1.10050	2504	0	1
2023.02.02	09:00:00	1.10054	1.10146	1.09914	1.09936	4119	0	1
2023.02.02	10:00:00	1.09935	1.10105	1.09915	1.10048	4692	0	1
2023.02.02	11:00:00	1.10051	1.10062	1.09888	1.09986	4006	0	1
2023.02.02	12:00:00	1.09987	1.10002	1.09804	1.09829	3596	0	1
2023.02.02	13:00:00	1.09829	1.10021	1.09820	1.09992	3036	0	1
2023.02.02	14:00:00	1.09992	1.10044	1.09824	1.09840	7295	0	1
2023.02.02	15:00:00	1.09840	1.10040	1.09440	1.09451	10210	0	1
2023.02.02	16:00:00	1.09454	1.09663	1.09050	1.09056	11772	0	0
2023.02.02	17:00:00	1.09057	1.09395	1.08851	1.09364	9519	0	0
2023.02.02	18:00:00	1.09363	1.09488	1.09071	1.09170	6251	0	0
2023.02.02	19:00:00	1.09169	1.09268	1.09056	1.09083	4203	0	1
2023.02.02	20:00:00	1.09084	1.09227	1.09078	1.09193	2941	0	1
2023.02.02	21:00:00	1.09192	1.09224	1.09052	1.09078	4522	0	1
2023.02.02	22:00:00	1.09079	1.09149	1.09054	1.09138	4190	0	1
2023.02.02	23:00:00	1.09137	1.09163	1.09081	1.09098	2727	0	1
2023.02.03	00:00:00	1.09093	1.09097	1.09071	1.09074	142	0	2
2023.02.03	01:00:00	1.09075	1.09116	1.09046	1.09047	1023	0	1
2023.02.03	02:00:00	1.09047	1.09051	1.08920	1.08975	2387	0	1
2023.02.03	03:00:00	1.08967	1.08996	1.08911	1.08936	2374	0	1
2023.02.03	04:00:00	1.08937	1.08959	1.08877	1.08897	2213	0	1
2023.02.03	05:00:00	1.08895	1.08956	1.08893	1.08939	1291	0	1
2023.02.03	06:00:00	1.08939	1.08946	1.08871	1.08931	1285	0	1
2023.02.03	07:00:00	1.08931	1.08982	1.08899	1.08936	1771	0	1
2023.02.03	08:00:00	1.08937	1.08998	1.08914	1.08983	1878	0	1
2023.02.03	09:00:00	1.08973	1.09057	1.08820	1.08993	4442	0	1
2023.02.03	10:00:00	1.08994	1.09073	1.08845	1.09036	4638	0	1
2023.02.03	11:00:00	1.09036	1.09309	1.08935	1.09300	4002	0	1
2023.02.03	12:00:00	1.09299	1.09366	1.09249	1.09351	3414	0	1
2023.02.03	13:00:00	1.09352	1.09369	1.09246	1.09291	2926	0	1
2023.02.03	14:00:00	1.09291	1.09368	1.09259	1.09327	2994	0	1
2023.02.03	15:00:00	1.09327	1.09401	1.08262	1.08398	10281	0	1
